Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description
2020-02-26,53409917C,LASSO INVESTMENT,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-26,53409923L,TEAM FIDA,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-26,53409939D,PHILO SURGICALS,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-29,53410067L,REDD PEONY BLOSSOMS,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-29,53410072D,BORIKOT,FINANCIAL AND INSURANCE ACTIVITIES
2020-02-29,53410084L,GOLDEN PEONIES BLOOM,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-03,53410196L,CHANNEL FUTURE CAPITAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-03,53410217D,REVOMOTIVE,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-03,53410254M,TIMETELLS VENTURES,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-06,53410386C,WISTERIA ASSET MANAGEMENT,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-08,53410460J,PROTAC SERVICES,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-13,53410662E,CORPORATEVISOR,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-13,53410686B,TCY VENTURE SERVICES,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-15,53410746W,CONNIE HUANG,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-20,53411031B,MY CELLARS,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-20,53411031B,VERTICAL ROCK CAPITAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-26,53411222J,MALMAT DIRECT,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-26,53411236J,MUDITA GLOBAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-26,53411239X,SUIE LAYHONG ONG & ASSOCIATES,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-26,53411249L,SENSEFUL,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-26,53411261K,CFX-SG,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-26,53411267J,CAPITAL J,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-27,53411291M,CHIANG CONSULTING,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-27,53411293E,INTEGRITAS FIRST,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-27,53411309E,INVESTOPOLIS,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-27,53411324M,LUI TRADER,FINANCIAL AND INSURANCE ACTIVITIES
2020-03-31,53411513J,QOSHAOQUN,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-01,53411521K,ETHAN NEO FINANCIAL MANAGEMENT,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-02,53411605A,GITA INVESTMENTS,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-02,53411607L,AVAYA SG,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-02,53411607L,L'AVENIR ADVISORY,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-02,53411621C,HAFNIUM PARTNERS,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,53411656J,ANNA LUU TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,53411664K,PERITIA,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,53411832A,LIM CHENG KAI,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,53411837B,MMX GLOBAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-10,53411979D,ANZ ENTERPRISE,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-11,53412000L,KBW & ASSOCIATES,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-12,53412037K,MACRO CONCEPTS,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-12,53412037K,TRAVEL CONCEPTS,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,53412443K,DASHING HORSE,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-24,53412506M,LINGJI,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-29,53412739L,KUKU IMPEX,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-30,53412776B,PAWNSHOP BULLION SG,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-01,53412797E,VANGUARD STRATEGIC,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-04,53412879C,AMIR ALI SALEMIZADEH,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-05,53412905J,K3E,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-05,53412929C,HANNSVILLE TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-05,53412940D,MYMINIBUZZ,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-09,53413065L,ROCKET INDUSTRIES,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-11,53413098D,T&A ENGINEERING SERVICES,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-12,53413152B,GOODREADS TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-12,53413177L,SINGAPORE LUXURY HOMES,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-15,53413313D,ASURE INSURANCE AGENCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-15,53413339L,TIANYIDA TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-19,53413500E,SKYRCORP,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-19,53413542X,CUBEASSOCIATE,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-20,53413568D,NANIE EMPIRE,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-20,53413590X,NORTIA PARTNERS,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-22,53413684B,MT2 INTERNATIONAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-23,53413700L,SEEOS,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-25,53413761W,XFINITYSG,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-26,53413844J,STRAITS VC,FINANCIAL AND INSURANCE ACTIVITIES
2020-05-30,53414059M,DORIS SOHMEN PAO,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-01,53414203J,HUGO CAPITAL PARTNERS,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-04,53414410A,DAKSINA JYOTI,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-04,53414416X,JPL RESEARCH,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-05,53414445D,WHALELAND TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-05,53414466K,A GREEN MART,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-05,53414466K,A GREEN MART (SG),FINANCIAL AND INSURANCE ACTIVITIES
2020-06-08,53414642B,TRANSFORMATIVE EVOLUTION CONSULTING,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-09,53414691X,HOWT INVESTMENTS,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-10,53414759C,ARMAND TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-11,53414813A,GREAT2TRADE,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-11,53414857C,JCJ CONSULTING,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-12,53414902B,ADINI CONSULTING,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-14,53415007A,MOSO HOLDING,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-16,53415109D,JDJ APPRAISAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-16,53415117E,TRISEAL HOLDINGS,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-20,53415419X,PROJECT V,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-22,53415481J,SILVERPINE,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-25,53415743B,1701 TRADING INTERNATIONAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-30,53416041K,FDC FAMILY OFFICE,FINANCIAL AND INSURANCE ACTIVITIES
2020-06-30,53416044A,KOMODO CAPITAL PARTNERS FUND I,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-01,53416151X,YEO SIEW KEE,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-02,53416197M,SONA PUNJAB,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-02,53416263X,SIMPLUSE-TECH,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-05,53416383A,DFHS LAND,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-09,53416651B,PEG SOLUTION INVESTMENT,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-12,53416811J,EVOLUTION ENERGY PARTNERS,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-13,53416819A,J SOON SERVICES,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-13,53416853A,ZION INVESTMENT,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-13,53416853A,ZION INVESTMENT AND CONSULTANCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-15,53417013K,MONEYSAVER,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-22,53417436A,LONG STREAM INVESTMENT,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-23,53417490J,PARTAKE COLLECTIVE,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-24,53417565A,SJGROUP ADVISORS,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-25,53417620L,PACIFIC CONNECTION HOLDINGS,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-29,53417843W,KOBAYASHI SERVICES,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-29,53417844L,FINANCIAL HARVEST AGENCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-29,53417848X,DE ENTRUST,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-29,53417857W,RDH TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-03,53418106J,SKY BLUE AISYAH PACKING,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-04,53418153L,GLOBAL TRUST MERCHANT,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-05,53418251L,BY ENTERPRISE,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-11,53418556L,88WIJAYA,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-12,53418671L,KUZZCATZ,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-12,53418680K,HEARTSGOLDSG,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-13,53418747A,PERFORMANCE METAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-14,53418816L,IX8 CAPITAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-18,53419067K,TYTO CAPITAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-18,53419080D,HIPPO LOANS,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-19,53419179K,AC MACGYVER GROUP,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-21,53419291B,CJ ADVISORY,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-22,53419307B,WOODEN TALES,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-22,53419317W,FORTITUDE ADVISORS,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-22,53419319J,RELIANCE MOTOR,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-25,53419473K,PANG CONSULTANCY SERVICES,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-30,53419771W,PENTAKORE TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-31,53419806J,CY SOH CONSULTANCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-08-31,53419837J,GOHSTER,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-02,53419978W,JIREH ADVISORY,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-07,53420244J,ZIMCON,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-14,53420387J,SCENEXCHANGE,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-15,53420406J,CAPITALUX,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-15,53420428K,YUHANG TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-16,53420518J,MARWELL,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-16,53420570D,FY UNION,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-17,53420699M,GHAKI MARKET,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-21,53420953W,OMP SG,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-21,53420971L,PERFECT BOUQUET,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-23,53421081C,NILNON CONSULTING,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-23,53421140B,GUNUNG CAPITAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-24,53421192E,FOO SONG HANG SUPPLIES  TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-25,53421267X,GLOBAL NOOR TRADE,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-28,53421366M,ASCEND ASSURANCE AGENCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-09-29,53421458D,SO SEDAP,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-01,53421612M,REAL WEALTH CREATION,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-02,53421725K,RESILIENT CITIES NETWORK,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-05,53421853M,PSALMS HOLDINGS,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-05,53421857A,HODL.SG,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-05,53421863J,EM CONSULTING & TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-06,53421909L,HEALTHYTASTE TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-07,53422000B,CLOUD8 CAPITAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-08,53422037A,SEAVIC-LY CONSULTING,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-08,53422083E,TG ADVISORS,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-10,53422160B,MINGALABAR MONEY,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-12,53422276E,JONATHON HAN,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-13,53422322B,HUAWEI APLUS,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-13,53422344C,SHANGRILA WAY,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-13,53422346W,GODZILLA 89,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-15,53422480J,AM FINSTRAT CONSULTING,FINANCIAL AND INSURANCE ACTIVITIES
2020-07-10,53422666C,RICKSHA HOLDINGS,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-19,53422695K,JIAHE SOLE-PROPRIETORSHIP,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-20,53422735W,NNOVATOR CONSULTING,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-20,53422759K,AMINA & FARIDAH,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-21,53422840B,CUT HOLDINGS,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-26,53423073C,PLATINUM DSK INTERNATIONAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-10-30,53423345K,CUBEMATCH APAC,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-01,53423479L,FI & KO,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-04,53423678B,OXLEY INDO-PACIFIC,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-06,53423805W,CAR GROUP,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-06,53423834C,FINARY TRADING,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-07,53423872J,COACHINGCONNEX,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-12,53424168M,CODENET,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-15,53424264B,KCM CAPITAL MANAGEMENT,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-16,53424319C,NOORUL ENTERPRISES,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-17,53424375D,ACCLAIM ACCOLADE,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-17,53424376B,ACCLAIM PRESTIGE,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-17,53424378M,ACCLAIM BENEFITS,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-22,53424590X,DEBORAH CONSULTING SERVICES,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-23,53424663W,MNWJT CAPITAL,FINANCIAL AND INSURANCE ACTIVITIES
2020-11-25,53424791A,A.K EMPIRE,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-01,53425125X,GCZ20,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-02,53425171D,EL FAMILY OFFICE ADVISORY,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-04,53425296J,CHARITYX.IO,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-04,53425326A,KENNEDY ENTERPRISE,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-04,53425337K,NATALIE CHOO & ASSOCIATES,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-06,53425394J,QUOX INSURANCE,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-06,53425394J,QUOX INSURANCE AGENCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-07,53425430J,ANALYTIIX,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-09,53425585W,ASURE CONNECT,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-16,53425857C,MK BIRD'S NEST,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-21,53426019E,EQUIITY INVESTMENTS,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-24,53426234A,BODMAS AGENCY,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-27,53426324X,GUIDIDI,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-28,53426346A,SUXUS ENTERPRISE,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-28,53426382L,ISAAC TAN ADVISORY,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-30,53426533B,LEGEND INN,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-31,53426569C,VARGO TRANFORMATION NETWORK,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-31,53426569C,VARGO TRANSFORMATION NETWORK,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000015R,JULIAN GREY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000015R,JULIAN GREY VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000017W,PRECIOUS (GLOBAL) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000018H,ALLIED STAR PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000024W,LAUNCH I/O PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000040Z,KAIXUAN HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000051D,EMINENT MANAGEMENT CONSULTANTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000061R,SEMITECH HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000083D,DAISYFIELDS HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-24,202000088W,8X CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000090D,AAA GLOBAL CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000104G,ION COMMERCIAL AGENCY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000106H,MMTT HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000109C,LAUNCHPAD APAC PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000123C,PACE360 GLOBAL INVESTMENTS CORPORATION PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000135R,INFINEX GREEN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000136G,SINCERUS CAPITALS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000137W,ARDYL VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-12-02,202000138H,SOPA HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-01,202000139Z,SUM ZERO GLOBAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000166E,TERRACOTTA CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000169W,JC ADVENTURE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000188M,GRASSCHILD INVEST PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000189D,DYMON ASIA MAYAPADA PRIVATE EQUITY (INDONESIA) FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000198E,EQUIS GEOENERGY (TAIWAN) HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000206D,J3 INVESTMENT HOLDING COMPANY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000221N,KITE BOOKKEEPING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000224G,PINPOINT ASSET MANAGEMENT (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000232W,STORHUB 50 YISHUN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000233H,ALLIANZ REAL ESTATE ASIA PACIFIC PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000243C,LOTTE INVESTMENT PARTNERS SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000245D,IRISH PRODUCTS CO. HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000252D,AZYGOS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000253N,ACE INTERNATIONAL MARINE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000253N,BWO OFFSHORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000257W,SOUTHEAST ASIA CLEAN ENERGY FACILITY MASTER FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000258H,AMTEL F&B INVESTMENTS PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000268C,EMERGENT VN LOGISTICS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000280Z,WONG FAMILY HOME PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000285N,EMERGENT VN LOGISTICS PROPERTIES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000288G,JMEK PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000292N,INVESTIBLE-VULPES GENERAL PARTNERSHIP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000296W,4FAR HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000337G,ANGELHOST HLH SERIES A PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000354Z,LCLV HOLDCO V PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000360H,LCLV HOLDCO VI PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000373N,AB CAPITAL MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000391W,FENG HUI PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000402H,GL SPV PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000409E,SFKG PROPERTY ASIA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-01-02,202000434H,TI-SKY CONSULTING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
